key,kind,baseAttributes,explicit_json,palette_tokens,phase,family,qa,rationale
DEFAULT_BLOCK_COMMENT,explicit,,"{""FOREGROUND"": ""acacac""}",— scheme DEFAULT_LINE_COMMENT,0,DEFAULT,False,Match DEFAULT_LINE_COMMENT acacac so block/line comments share Hiberbee muted gray
DEFAULT_HIGHLIGHTED_REFERENCE,explicit,,"{""EFFECT_COLOR"": ""8f8e8d"", ""EFFECT_TYPE"": ""1""}",light3,0,DEFAULT,True,Soft underline with light3 (muted chrome); avoids competing with caret/selection accent
DEFAULT_SEMICOLON,pin_empty,,{},,0,DEFAULT,False,Pin empty so punctuation inherits platform; optional later FG=light6 if desired
DEFAULT_LOCAL_VARIABLE,pin_empty,,{},,0,DEFAULT,False,Pin empty; enables language baseAttributes→DEFAULT_LOCAL_VARIABLE without forcing a color (identifier default)
org.rust.ASSOC_FUNCTION,baseAttributes,DEFAULT_STATIC_METHOD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_STATIC_METHOD
org.rust.ASSOC_FUNCTION_CALL,baseAttributes,DEFAULT_STATIC_METHOD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_STATIC_METHOD
org.rust.ATTRIBUTE,baseAttributes,DEFAULT_METADATA,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_METADATA
org.rust.BLOCK_COMMENT,baseAttributes,DEFAULT_BLOCK_COMMENT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_BLOCK_COMMENT
org.rust.BRACES,baseAttributes,DEFAULT_BRACES,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_BRACES
org.rust.BRACKETS,baseAttributes,DEFAULT_BRACKETS,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_BRACKETS
org.rust.CHAR,baseAttributes,DEFAULT_STRING,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_STRING
org.rust.COMMA,baseAttributes,DEFAULT_COMMA,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_COMMA
org.rust.CONSTANT,baseAttributes,DEFAULT_CONSTANT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_CONSTANT
org.rust.CONST_PARAMETER,baseAttributes,DEFAULT_CONSTANT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_CONSTANT
org.rust.DOC_CODE,baseAttributes,DEFAULT_DOC_MARKUP,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_DOC_MARKUP
org.rust.DOC_COMMENT,baseAttributes,DEFAULT_DOC_COMMENT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_DOC_COMMENT
org.rust.DOC_HEADING,baseAttributes,DEFAULT_DOC_COMMENT_TAG,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_DOC_COMMENT_TAG
org.rust.DOC_LINK,baseAttributes,DEFAULT_DOC_COMMENT_TAG_VALUE,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_DOC_COMMENT_TAG_VALUE
org.rust.DOT,baseAttributes,DEFAULT_DOT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_DOT
org.rust.ENUM,baseAttributes,DEFAULT_CLASS_NAME,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_CLASS_NAME
org.rust.ENUM_VARIANT,baseAttributes,DEFAULT_STATIC_FIELD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_STATIC_FIELD
org.rust.EOL_COMMENT,baseAttributes,DEFAULT_LINE_COMMENT,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_LINE_COMMENT
org.rust.FIELD,baseAttributes,DEFAULT_INSTANCE_FIELD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_INSTANCE_FIELD
org.rust.FORMAT_PARAMETER,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_VALID_STRING_ESCAPE
org.rust.FUNCTION,baseAttributes,DEFAULT_FUNCTION_DECLARATION,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_FUNCTION_DECLARATION
org.rust.FUNCTION_CALL,baseAttributes,DEFAULT_FUNCTION_CALL,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_FUNCTION_CALL
org.rust.INVALID_STRING_ESCAPE,baseAttributes,DEFAULT_INVALID_STRING_ESCAPE,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_INVALID_STRING_ESCAPE
org.rust.KEYWORD,baseAttributes,DEFAULT_KEYWORD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_KEYWORD
org.rust.METHOD,baseAttributes,DEFAULT_INSTANCE_METHOD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_INSTANCE_METHOD
org.rust.METHOD_CALL,baseAttributes,DEFAULT_FUNCTION_CALL,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_FUNCTION_CALL
